URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 172/2026 / Número do processo: 67440.002360/2026-85 / Objeto: Aquisição de Proteínas de Origem Animal para Seção de Subsistência do Hospital de Força Aérea de Brasília</p><p>Data de início de recebimento de propostas: 24/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 03/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062505001722026</p><p class="assina">ULISSES CRUZ DA COSTA</p><p class="cargo">Responsável pela contratação direta</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 28/2026 / Número do processo: 67261.004839/2026-64 / Objeto: Aquisição de material laboratorial comum</p><p>Data de início de recebimento de propostas: 24/08/2026, 09:30. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 03/09/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063805000282026</p><p class="assina">LUANNE MACHADO DA SILVA</p><p class="cargo">p/ Equipe de apoio</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 193/2026 / Número do processo: 67278.003588/2026-11 / Objeto: Aquisição de Material de Consumo para a Seção de Urologia do Hospital de Aeronáutica de Canoas (HACO), nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.</p><p>Data de início de recebimento de propostas: 24/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 03/09/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905001932026</p><p class="assina">FAGNER OLIVEIRA DA SILVA</p><p class="cargo">Agente de contratação</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 176/2026 / Número do processo: 67564.004368/2026-80 / Objeto: Aquisição de utensílios tipo 1 para atender às necessidades do Serviço de Subsistência do Grupamento de Apoio dos Afonsos (GAP-AF).</p><p>Data de início de recebimento de propostas: 24/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 03/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062305001762026</p><p class="assina">HORACIO FERNANDO PINTO</p><p class="cargo">Ordenador de Despesas por Delegação de Competência</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 219/2026 / Número do processo: 67107.004168/2026-14 / Objeto: Contratação de Serviço de manutenção e instalação e de Sistema de Antena Coletiva (UHF e sinal modulado digital), com central em rack, em regime de comodato para atendimento a 319 (trezentos e dezenove) pontos de televisão, nas dependências do Hospital de Força Aérea do Galeão (HFAG)</p><p>Data de início de recebimento de propostas: 24/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064505002192026</p><p class="assina">DANIEL PAULO DE LIRA RIBEIRO</p><p class="cargo">Ordenador de Despesas</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 87/2026 / Número do processo: 67710.002309/2026-46 / Objeto: Contratação de Serviço Manutenção da Rede de Abastecimento de Água do CLA</p><p>Data de início de recebimento de propostas: 24/08/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 10/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001305000872026</p><p class="assina">DIEGO RAFAEL COSTA RIBEIRO</p><p class="cargo">Membro da comissão de contratação</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Concorrência 236/2026 / Número do processo: 67278.002684/2026-42 / Objeto: Obra para construção da Usina Fotovoltaica em proveito da Base Aérea de Canoas.</p><p>Data de início de recebimento de propostas: 24/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/09/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062903002362026</p><p class="assina">DANYELLA ARAUJO FERNANDES RIBEIRO</p><p class="cargo">Agente de contratação</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 234/2026 / Número do processo: 67278.000407/2026-03 / Objeto: Aquisição de Materiais Descartáveis, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento</p><p>Data de início de recebimento de propostas: 24/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 03/09/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905002342026</p><p class="assina">FAGNER OLIVEIRA DA SILVA</p><p class="cargo">Agente de contratação</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=11;AVISO DE NOTIFICAÇÃO;<p>ABERTURA DE PAAI</p><p>A Base Aérea de Natal resolve informar à empresa Z NORTE COMÉRCIO E SERVIÇO LTDA ME, inscrita no CNPJ nº 46.027.640/0001-96, quanto à abertura do Processo Administrativo de Apuração de Irregularidade (PAAI) nº 14/BANT/2026, por descumprimento das obrigações assumidas nas Notas de Empenho 2025NE001808 e 2025NE00197, oriundas do Termo de Referência do Edital de Pregão nº 90055/2025, PAG: nº 67222.010436/2025-30, que trata da aquisição de materiais esportivos e uniformes para o Núcleo do PROFESP na Base Aérea de Natal - BANT, constantes nas referidas Notas de Empenho, totalizando o valor de R$ 66.229,60 (sessenta e seis mil duzentos e vinte e nove reais e sessenta centavos). De acordo com rastreamento eletrônico nº BN604388953BR, o referido Ofício não foi entregue no endereço cadastrado no SICAF, retornando ao remetente.</p><p>Assim, fica a empresa notificada para, querendo, apresentar DEFESA PRÉVIA pelo procurador/representante legal (anexar procuração no ato de resposta, se for o caso), por escrito e assinada, no prazo de 15 (quinze) dias úteis, a contar da data desta publicação, dirigida à Ordenadora de Despesas da BANT, no endereço Rua do Especialista, s/nº, Emaús, Parnamirim - RN, CEP nº 59148-900, fone (84) 3644-9202, ou ainda por meio eletrônico, no e-mail arc.bant@fab.mil.br, mesmo local onde se encontram disponíveis os autos para consulta, tendo em vista a possível aplicação de sanções administrativas, conforme disposições contidas nos arts. 155 e 156 da Lei nº 14.133/21 e seus regulamentos, Portaria nº 623/GC4, de 20 de novembro de 2023, do Comando da Aeronáutica.</p><p class="assina">SILVIA NATÁLIA SOARES MENEZES DA SILVA Cel Int</p><p class="cargo">Ordenadora de Despesas</p>;24/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/08/2026&jornal=530&pagina=13;EDITAL DE NOTIFICAÇÃO;<p>A Assessoria de Indicios da Base de Recepcao de Veteranos (BREVET), neste ato representada pela encarrega da sindicância, Aspirante QOCON CCO Elaine Souza da Silva Quintanilha, no uso de suas atribuicoes e em cumprimento aos principios do contraditorio e da ampla defesa, previstos no inciso LV, art. 5o da Constituicao Federal de 1988, e nos itens 2.2.19 e 2.2.21, da MCA 174-3/2024, NOTIFICA pelo presente Edital a Sra. JULIANA DE ALMEIDA BASILIO GONCALVES, apos tentar notifica-la via correio e e-mail, sem retorno nos meios de comunicacao mencionados, sobre sua condicao de agente responsavel nos autos do Processo Protocolo COMAER n. 674.004631/2026-55, intimando-a comparecer no prazo de tres dias a contar da publicacao deste edital a sede desta Base, situada na Avenida Marechal Fontenelle, 1000, a fim de tomar ciencia dos fatos apurados e pagar a quantia indicada ou apresentar defesa. Os autos desse mencionado processo podem ser consultados, de segunda a quinta-feira das 9h as 15h e as sexta-feira das 9h as 11h, na sede desta Base, estando a disposicao para tratar do assunto, a Aspirante QOCON CCO Elaine Souza da Silva Quintanilha, sindicante, por meio do telefone (21) 2157-3020, e-mail protocolo.brevet@fab.mil.br.</p><p class="data">Rio de Janeiro, 21 de agosto de 2026.</p><p class="assina">LEANDRO SILVESTRE AUGUSTO ROCHA Cel Int</p><p class="cargo">Diretor</p>;24/08/2026
